,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
0,The Perfect Red Velvet - The 2nd Album Repackage,1,5GKwq4sO5ZHKuWaDmdwMQc,Bad Boy,spotify:track:5GKwq4sO5ZHKuWaDmdwMQc,0.191,0.714,0.736,0.0,0.0553,-3.801,0.0457,149.985,0.814,72
1,The Perfect Red Velvet - The 2nd Album Repackage,2,2SahFuW1EZN9MXNVTkxv6F,All Right,spotify:track:2SahFuW1EZN9MXNVTkxv6F,0.135,0.721,0.924,0.0,0.0427,-3.071,0.0524,124.024,0.801,45
6,The Perfect Red Velvet - The 2nd Album Repackage,7,6AdhHZfTC4ep1b2v7L0Hfl,Time To Love,spotify:track:6AdhHZfTC4ep1b2v7L0Hfl,0.14,0.41,0.654,0.0,0.126,-3.966,0.067,184.736,0.341,46
12,Perfect Velvet - The 2nd Album,1,42tFTth2jcF7iSo0RBjfJF,피카부 Peek-A-Boo,spotify:track:42tFTth2jcF7iSo0RBjfJF,0.0868,0.839,0.902,0.00257,0.272,-3.612,0.0536,114.953,0.639,68
13,Perfect Velvet - The 2nd Album,2,48Nd8rdc0WVG4rHTd76Mh6,봐 Look,spotify:track:48Nd8rdc0WVG4rHTd76Mh6,0.0792,0.761,0.785,0.000112,0.142,-4.369,0.052,111.037,0.78,48
14,Perfect Velvet - The 2nd Album,3,7BuFMtIknd3ewai0zhKhqb,I Just,spotify:track:7BuFMtIknd3ewai0zhKhqb,0.586,0.686,0.752,2.47e-06,0.364,-3.442,0.0322,149.998,0.906,48
15,Perfect Velvet - The 2nd Album,4,5XJEdVQ5jl3C3dFsV7kCTZ,Kingdom Come,spotify:track:5XJEdVQ5jl3C3dFsV7kCTZ,0.235,0.572,0.743,5.93e-06,0.0761,-3.991,0.12,170.123,0.678,49
16,Perfect Velvet - The 2nd Album,5,6z8QDsRU25QbckFUajl553,두 번째 데이트 My Second Date,spotify:track:6z8QDsRU25QbckFUajl553,0.089,0.832,0.759,6e-05,0.0565,-4.505,0.0751,94.999,0.767,44
17,Perfect Velvet - The 2nd Album,6,1ni3URO3waGQI8R6GNZ6sz,Attaboy,spotify:track:1ni3URO3waGQI8R6GNZ6sz,0.022,0.774,0.785,0.0,0.138,-4.619,0.216,104.959,0.646,42
18,Perfect Velvet - The 2nd Album,7,3OK4va42j6de25ZPNdI5kC,Perfect 10,spotify:track:3OK4va42j6de25ZPNdI5kC,0.56,0.709,0.572,0.0,0.331,-5.878,0.0514,121.9,0.564,41
19,Perfect Velvet - The 2nd Album,8,2aSoUIBolhj734OqGn5ave,About Love,spotify:track:2aSoUIBolhj734OqGn5ave,0.162,0.611,0.82,0.0,0.17,-3.838,0.204,191.908,0.78,42
20,Perfect Velvet - The 2nd Album,9,1WryFxHMRpm6SOl58n8BYz,달빛 소리 Moonlight Melody,spotify:track:1WryFxHMRpm6SOl58n8BYz,0.654,0.634,0.482,0.0,0.091,-5.813,0.0269,123.983,0.32,42
21,The Velvet - The 2nd Mini Album,1,6koMMQlsRWBwHZXdtWxgUk,7월 7일 One Of These Nights,spotify:track:6koMMQlsRWBwHZXdtWxgUk,0.475,0.436,0.509,0.0,0.101,-5.161,0.0345,133.653,0.11,52
22,The Velvet - The 2nd Mini Album,2,6kR8TFJ4BowMMBW2tokFWr,Cool Hot Sweet Love,spotify:track:6kR8TFJ4BowMMBW2tokFWr,0.207,0.664,0.719,0.0,0.199,-4.436,0.0475,153.039,0.824,44
23,The Velvet - The 2nd Mini Album,3,7BzhMJxmNDtibkjZUBnNZo,Light Me Up,spotify:track:7BzhMJxmNDtibkjZUBnNZo,0.597,0.612,0.908,0.0,0.159,-3.699,0.094,120.013,0.688,41
24,The Velvet - The 2nd Mini Album,4,4BeYVQC4uQGwEnLOeOo2ch,처음인가요 First Time,spotify:track:4BeYVQC4uQGwEnLOeOo2ch,0.504,0.53,0.536,0.0,0.112,-5.145,0.0302,129.878,0.312,40
25,The Velvet - The 2nd Mini Album,5,0hVojZWwk9up4n1Az3nAyY,장미꽃 향기는 바람에 날리고 Rose Scent Breeze,spotify:track:0hVojZWwk9up4n1Az3nAyY,0.878,0.41,0.333,0.0,0.152,-7.09,0.0336,127.791,0.208,36
26,The Velvet - The 2nd Mini Album,6,4ANkWZ3HxsS4Qu0O8UqetR,7월 7일 One Of These Nights - De-Capo Version,spotify:track:4ANkWZ3HxsS4Qu0O8UqetR,0.489,0.577,0.498,0.0,0.116,-5.778,0.0333,133.606,0.178,30
27,The Velvet - The 2nd Mini Album,7,5Cy8dlf1hwqltXLGwIFepX,7월 7일 One Of These Nights - Joe Millionaire Version,spotify:track:5Cy8dlf1hwqltXLGwIFepX,0.271,0.566,0.616,0.0,0.102,-5.084,0.0336,133.736,0.0813,30
28,The Velvet - The 2nd Mini Album,8,4dDfCz3oahKnPnAVttwYfJ,7월 7일 One Of These Nights - Piano Version,spotify:track:4dDfCz3oahKnPnAVttwYfJ,0.819,0.582,0.318,0.0,0.135,-7.041,0.0366,133.73,0.139,39
29,The Red - The 1st Album,1,64iDjAuWDogVhuoWhKklF9,Dumb Dumb,spotify:track:64iDjAuWDogVhuoWhKklF9,0.0334,0.778,0.789,2.05e-06,0.225,-4.297,0.0503,145.99,0.799,62
30,The Red - The 1st Album,2,1LNFbKyhjwOk7eeBUVqvo3,Huff n Puff,spotify:track:1LNFbKyhjwOk7eeBUVqvo3,0.0281,0.744,0.892,0.0,0.0563,-2.5,0.0806,103.988,0.812,43
31,The Red - The 1st Album,3,7zevDPGnHofmT4sXeKW7QH,Campfire,spotify:track:7zevDPGnHofmT4sXeKW7QH,0.0315,0.714,0.721,0.0,0.108,-4.024,0.104,89.991,0.455,41
32,The Red - The 1st Album,4,0ItGyAARjZ8tYxRjcDmgkt,Red Dress,spotify:track:0ItGyAARjZ8tYxRjcDmgkt,0.00788,0.763,0.856,1.43e-05,0.329,-4.161,0.0419,120.001,0.615,44
33,The Red - The 1st Album,5,3ts0OSZgdjOP0Uu1DvQK4h,Oh Boy,spotify:track:3ts0OSZgdjOP0Uu1DvQK4h,0.0176,0.701,0.766,0.0,0.228,-4.542,0.0472,93.99,0.366,46
34,The Red - The 1st Album,6,6f48SDPW5xu6gUsfLaHOZi,Lady's Room,spotify:track:6f48SDPW5xu6gUsfLaHOZi,0.565,0.742,0.738,0.0,0.305,-4.835,0.0379,107.024,0.851,41
